SCPTLTZ01_SYS	供应商协同退料通知单
SCPCGTLD01_SYS	供应商协同采购退料单
WWYMZZZY01_SYS	委外月末在制转移
XJGHD01_SYS	现金购汇单
CGHT01_SYS	标准采购合同
BBCOrder01_SYS	BBC企业订单
HandAllotType	手工铺货
AutoAllotType	智能配货
SCFLTZD01_SYS	生产发料通知单
JYD010_SYS	其他检验单
YSSJSBB01_SYS	预算实际数报表
YSHZBB01_SYS	预算周期汇总报表
YSHZB01_SYS	预算汇总表
ESS_PREPAYMENT01_SYS	预付款提报单
BBCOrder02_SYS	BBC配件订单
BBCOrder03_SYS	BBC企业分销调拨订单
BBCOrder04_SYS	BBC企业寄售订单
DBSQD01_SYS	标准调拨申请单
DBSQD02_SYS	VMI调拨申请单
CKSQ01_SYS	标准出库申请
CKSQ02_SYS	VMI出库申请
CKSQ03_SYS	资产出库申请
CKSQ04_SYS	费用物料出库申请
JYD011_SYS	工序巡检单
MNBJD01_SYS	标准模拟报价单
AMNBJSD01_SYS	经营单元内部结算单
DDJLTZ01_SYS	销售订单级联调整
DDJLTZ02_SYS	预测单级联调整
YFTHD01_SYS	应付调汇单
YSTHD01_SYS	应收调汇单
BBCTHSQD04_SYS	BBC寄售销售退货申请单
SCQLFX01_SYS	标准缺料分析单
SCQTFX01_SYS	标准齐套分析单
APPADD	APP POS
SMALLROUTINE	小程序扫码购
B2CADD	B2C自提
DepositConvertSale	预订单转销售
LDZFD01_SYS	联动支付单
B2CJPD01_SYS	标准拣配单
CGDD08_SYS	现购订单
SLD07_SYS	现购收料单
RKD08_SYS	现购入库单
TLD07_SYS	现购退料单
TLSQDD04_SYS	现购退料申请
B2CJPD03_SYS	代销拣配单
B2CJPD02_SYS	自提拣配单
BRJS06_SYS	应收票据质押结算单
BRJS07_SYS	应收票据撤押结算单
YCD02_SYS	ATO预测单
TLSQDD05_SYS	VMI退料申请
SelfhelpShop	自助购
SMALLONLINE	小程序线上购
RKD02_SYS	零散采购入库单
FKSQ007_SYS	保证金付款申请
FKDLX08_SYS	保证金付款单
FKTKDLX04_SYS	保证金付款退款单
BRJS02_SYS	应收票据贴现
CLFBX002_SYS	差旅费报销单
XJD06_SYS	委外询价单
BBCChannelReq_SYS	BBC渠道调拨单
RetailReturnReq01_SYS	销售开单退货
BLPCL005_SYS	委外工序检验不良品处理单
KCZTZH02_SYS	检验库存状态转换
HZSSD01_SYS	坏账损失单
MRBPSD002_SYS	产品检验MRB评审单
FZGS01_SYS	标准辅助工时
YMZGYSD01_SYS	月末发出商品单
KP001_SYS	指标卡片
YFCSGZD01_SYS	预防措施跟踪单
MRBPSD003_SYS	自制工序检验MRB评审单
KP002_SYS	单据卡片
FYFP01_SYS	进项费用普通发票
SCTLQJD001_SYS	生产退料请检单
JYD012_SYS	生产退料检验单
XLYCD01_SYS	销量预测单
ZTCOMMON_SYS	常规主题
ZTCUSTBUS_SYS	客户价值分析
JYLSZ01_SYS	日常业务
JYLSZ02_SYS	内部交易
JYLSZ03_SYS	调整业务
JYLSZ04_SYS	共享业务
ZCCZ01_SYS	自有资产处置单
ZCCZ02_SYS	租入资产处置单
MRBPSD004_SYS	库存检验MRB评审单
ZJBXD001_SYS	租金报销单
YCDBGD01_SYS	预测单变更单
FYSQ002_SYS	BBC费用申请单
FYBXD002_SYS	BBC费用报销单
BBC_FYSQD_SYS	营销费用申请单
HZSHD01_SYS	坏账收回单
BBCFYBXD	营销费用报销单
JYLSZ05_SYS	内部分摊
MRBPSD005_SYS	退货检验MRB评审单
MTOKCSF01_SYS	标准MTO库存释放
MTOKCTZ01_SYS	标准MTO库存调整
DDJLTZ03_SYS	生产订单级联调整
DDJLTZ04_SYS	委外订单级联调整
ZCTZ01_SYS	人人资产退库单
ZCTZ02_SYS	人人资产转移单
BLPCL006_SYS	生产退料检验不良品处理单
JKZY001_SYS	借款转移单
SYSQD001_SYS	事由申请单
CP_BBCSaleScheme01_SYS	BBC标准要货计划
KP003_SYS	报表卡片
BFTKBXD001_SYS	负数费用报销单
RRZCLY01_SYS	人人资产领用
ZTSTATEMENT_SYS	报表主题
YSTZB01_SYS	None
MRBPSD006_SYS	委外工序检验MRB评审单
FKTKDLX05_SYS	工资发放退款单
ZXPSQD_SYS_001	助销品申请单
CGSQD03_SYS	资产采购申请单
BLPCL007_SYS	受托材料检验不良品处理单
QTQJD001_SYS	其他请检单
WWDDBGD01_SYS	委外订单变更单
ESS_OUTSTOCK01_SYS	标准渠道出库单
ESS_OrderSign01_SYS	标准渠道入库单
ESS_OUTSTOCK02_SYS	盘亏出库单
ESS_OUTSTOCK03_SYS	其他出库单
ESS_OUTSTOCK04_SYS	红字出库单
ESS_OrderSign02_SYS	盘盈入库单
ESS_OrderSign03_SYS	其他入库单
ESS_OrderSign04_SYS	红字入库单
FUM_INADJUST01_SYS	充值调入单
FUM_INADJUST02_SYS	报销调入单
FUM_INADJUST03_SYS	退货调入单
FUM_INADJUST04_SYS	初始调入单
FUM_INADJUST05_SYS	其他调入单
FUM_OUTADJUST01_SYS	订货调出单
FUM_OUTADJUST02_SYS	尾款调出单
FUM_OUTADJUST03_SYS	其他调出单
FUM_INOUTADJUST01_SYS	标准账户调整单
MRBPSD007_SYS	生产退料检验MRB评审
MRBPSD008_SYS	受托材料检验MRB评审
BLPCL008_SYS	发货检验不良品处理单
FUM_INADJUST06_SYS	订单取消调入单
XTZH01_SYS	标准形态转换
CGDD09_SYS	分销购销采购订单
RKD09_SYS	直运入库单
TLD08_SYS	直运退料单
WWTLQJD001_SYS	委外退料请检单
BLPCL009_SYS	其他检验不良品处理单
JYD013_SYS	委外退料检验单
YSQMTHD01_SYS	应收期末调汇单
YFQMTHD01_SYS	应付期末调汇单
SKRLD01_SYS	收款认领单
XSCKD08_SYS	直运销售出库单
XSTHD09_SYS	直运销售退货单
MRBPSD009_SYS	其他检验MRB评审单
SD_Assemble	标准商品加工单
LS_Assemble	零售自动组装单
GXWWJZFC01_SYS	工序委外集中发出
BLPCL0010_SYS	委外退料检验不良品处理单
SLD08_SYS	分销购销收料单
GXWAJZJS01_SYS	工序委外集中接收
MRBPSD010_SYS	委外退料检验MRB评审单
FUM_INADJUST07_SYS	资金账户授信调增
FUM_OUTADJUST04_SYS	资金账户授信调减
FUM_INOUTADJUST02_SYS	信用还款调拨列表
KCZTZH03_SYS	序列号调整库存状态转换
BBCTKSQD001	BBC退款申请单
SCPCGHT01_SYS	供应商协同采购合同
ZJQKD01_SYS	资金请款
